Ciudad,Latitud,Longitud,Fecha,Forecast,Temperatura Promedio (°C),Temperatura Maxima (°C),Temperatura Minima (°C),Precipitación (mm),Nieve (cm),Humedad(%),Visibilidad (km),Velocidad Viento(m/s),Amanecer (s),Atardecer (s),Forecast Time
"Villa La Angostura, AR",-40.78,-71.66,2023-07-02,Moderate or heavy rain shower,2.9,7.5,1.3,22.5,0.0,89,8.8,16.3,09:12 AM,06:30 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-07-01,Cloudy,4.4,7.4,1.6,2.2,0.0,91,8.3,15.1,09:12 AM,06:29 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-06-30,Moderate or heavy rain shower,2.0,6.1,-0.4,10.3,0.6,86,8.9,9.7,09:12 AM,06:29 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-06-29,Light freezing rain,1.0,3.4,-1.1,1.1,0.0,88,8.9,12.2,09:12 AM,06:28 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-06-28,Cloudy,0.1,1.8,-1.9,0.8,0.0,86,9.8,11.4,09:12 AM,06:28 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-27,Moderate snow,0.8,2.2,0.1,20.95,10.84,90,5.6,14.3,09:12 AM,06:27 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-06-26,Moderate or heavy snow showers,1.4,2.5,0.2,28.85,11.48,94,4.9,15.3,09:12 AM,06:27 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-06-25,Moderate or heavy snow showers,1.6,4.2,-0.8,54.9,21.72,92,5.8,17.3,09:12 AM,06:27 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-24,Moderate or heavy rain shower,2.2,3.3,1.0,15.4,0.0,97,6.2,13.0,09:12 AM,06:26 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-23,Moderate or heavy snow showers,2.6,5.2,0.6,55.1,10.07,97,5.8,11.1,09:12 AM,06:26 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-06-22,Moderate or heavy rain shower,5.1,6.0,4.1,65.65,0.0,93,7.5,18.7,09:11 AM,06:26 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-06-21,Moderate rain at times,3.9,5.4,1.2,15.0,0.0,94,7.7,12.6,09:11 AM,06:26 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-20,Light freezing rain,-0.7,0.8,-2.2,3.3,0.0,89,6.3,12.6,09:11 AM,06:25 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-06-19,Overcast,-0.9,0.7,-2.3,0.0,0.0,82,9.6,16.6,09:11 AM,06:25 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-06-18,Overcast,3.3,8.7,0.1,0.0,0.0,64,10.0,13.5,09:10 AM,06:25 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-17,Partly cloudy,0.8,4.8,-2.0,0.0,0.0,81,10.0,8.3,09:10 AM,06:25 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-06-16,Cloudy,1.5,4.1,-1.1,0.0,0.0,86,9.3,10.8,09:10 AM,06:25 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-15,Patchy rain possible,3.7,5.5,2.4,2.5,0.0,97,1.4,9.4,09:09 AM,06:25 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-14,Patchy rain possible,4.4,5.2,2.9,0.8,0.0,79,7.7,11.9,09:09 AM,06:25 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-13,Overcast,2.2,7.6,-2.2,0.0,0.0,71,10.0,9.0,09:09 AM,06:25 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-12,Sunny,-1.6,2.5,-4.1,0.0,0.0,84,10.0,5.4,09:08 AM,06:25 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-11,Cloudy,-2.8,-0.9,-5.1,0.0,0.0,87,10.0,12.6,09:08 AM,06:25 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-10,Light freezing rain,-1.3,1.1,-2.9,2.6,0.68,84,9.6,15.5,09:07 AM,06:25 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-06-09,Moderate or heavy snow showers,-0.6,1.8,-2.2,31.05,19.59,84,7.3,17.6,09:06 AM,06:25 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-08,Moderate or heavy rain shower,5.5,8.9,1.1,104.85,0.0,92,6.4,26.9,09:06 AM,06:25 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-07,Light freezing rain,2.0,4.7,-0.9,7.2,0.0,89,9.0,14.0,09:05 AM,06:25 PM,2024-04-22 19:10
"Villa La Angostura, AR",-40.78,-71.66,2023-06-06,Moderate or heavy rain shower,3.0,6.3,-0.2,49.5,0.0,91,7.3,14.8,09:05 AM,06:26 PM,2024-04-22 19:13
"Villa La Angostura, AR",-40.78,-71.66,2023-06-05,Moderate or heavy rain shower,4.5,6.6,1.3,33.8,0.0,85,8.6,16.9,09:04 AM,06:26 PM,2024-04-22 19:13
"Villa La Angostura, AR",-40.78,-71.66,2023-06-04,Cloudy,0.7,3.5,-1.4,0.6,0.0,83,10.0,16.1,09:03 AM,06:26 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-06-03,Moderate or heavy snow showers,1.9,3.6,0.7,71.5,1.62,94,5.8,21.9,09:03 AM,06:27 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-06-02,Moderate or heavy rain shower,3.2,5.8,2.0,30.5,0.0,96,7.5,18.4,09:02 AM,06:27 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-06-01,Patchy rain possible,3.6,7.5,1.2,18.8,0.0,85,9.2,12.6,09:01 AM,06:27 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-31,Moderate or heavy rain shower,5.2,7.7,1.9,7.55,0.0,85,8.8,14.9,09:01 AM,06:28 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-30,Patchy rain possible,5.3,6.9,4.5,2.5,0.0,87,8.0,14.4,09:00 AM,06:28 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-29,Partly cloudy,3.5,7.1,1.2,0.0,0.0,65,10.0,10.8,08:59 AM,06:29 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-28,Overcast,0.7,5.2,-2.9,0.0,0.0,72,10.0,4.7,08:58 AM,06:29 PM,2024-04-22 19:13
"Villa La Angostura, AR",-40.78,-71.66,2023-05-27,Overcast,-3.3,-0.3,-6.2,0.0,0.0,79,10.0,9.0,08:57 AM,06:30 PM,2024-04-22 19:13
"Villa La Angostura, AR",-40.78,-71.66,2023-05-26,Moderate snow,-0.5,1.3,-2.1,12.55,6.72,85,8.4,17.8,08:57 AM,06:30 PM,2024-04-22 19:13
"Villa La Angostura, AR",-40.78,-71.66,2023-05-25,Moderate or heavy rain shower,2.4,3.2,0.9,45.1,0.0,97,6.7,19.5,08:56 AM,06:31 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-24,Moderate or heavy rain shower,1.7,3.1,0.7,47.5,1.28,90,3.0,28.7,08:55 AM,06:32 PM,2024-04-22 19:13
"Villa La Angostura, AR",-40.78,-71.66,2023-05-23,Moderate or heavy rain shower,1.9,3.1,1.0,28.1,0.0,92,7.7,16.6,08:54 AM,06:32 PM,2024-04-22 19:13
"Villa La Angostura, AR",-40.78,-71.66,2023-05-22,Moderate or heavy snow showers,1.8,4.2,0.6,8.45,4.63,97,3.2,13.3,08:53 AM,06:33 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-21,Moderate or heavy rain shower,2.0,3.1,-0.1,43.3,2.98,96,7.1,14.0,08:52 AM,06:34 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-20,Sunny,3.2,9.2,-0.8,4.1,0.0,65,10.0,14.8,08:51 AM,06:34 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-19,Patchy rain possible,2.6,5.4,0.5,3.3,0.0,76,10.0,16.7,08:50 AM,06:35 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-18,Moderate rain at times,5.2,8.2,3.0,10.6,0.0,82,9.9,17.4,08:49 AM,06:36 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-17,Moderate rain at times,4.0,4.9,2.8,5.3,0.0,89,9.3,14.4,08:49 AM,06:37 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-16,Overcast,7.4,8.9,5.7,3.8,0.0,91,7.7,14.8,08:48 AM,06:38 PM,2024-04-22 19:13
"Villa La Angostura, AR",-40.78,-71.66,2023-05-15,Patchy rain possible,9.8,13.7,7.6,2.4,0.0,71,9.8,16.6,08:47 AM,06:39 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-14,Sunny,8.7,13.5,5.7,0.0,0.0,76,10.0,11.5,08:46 AM,06:40 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-13,Patchy rain possible,9.0,11.9,7.6,0.9,0.0,86,8.3,11.5,08:45 AM,06:41 PM,2024-04-22 19:14
"Villa La Angostura, AR",-40.78,-71.66,2023-05-12,Moderate rain at times,8.3,10.0,6.4,3.7,0.0,93,7.0,13.7,08:44 AM,06:42 PM,2024-04-22 19:13
"Villa La Angostura, AR",-40.78,-71.66,2023-05-11,Patchy rain possible,9.0,12.1,6.9,0.2,0.0,83,10.0,15.8,08:43 AM,06:43 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-10,Patchy rain possible,8.1,12.0,5.6,0.3,0.0,75,10.0,11.2,08:42 AM,06:44 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-09,Cloudy,8.4,12.7,4.7,0.0,0.0,53,10.0,9.0,08:41 AM,06:45 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-08,Partly cloudy,6.6,12.0,2.1,0.0,0.0,59,10.0,11.2,08:40 AM,06:46 PM,2024-04-22 19:11
"Villa La Angostura, AR",-40.78,-71.66,2023-05-07,Overcast,7.0,9.9,5.3,0.2,0.0,83,8.7,10.8,08:39 AM,06:47 PM,2024-04-22 19:14
"Villa La Angostura, AR",-40.78,-71.66,2023-05-06,Sunny,8.4,14.7,5.3,0.0,0.0,75,10.0,13.7,08:38 AM,06:48 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-05-05,Sunny,7.6,13.3,3.9,0.0,0.0,76,10.0,5.0,08:37 AM,06:49 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-05-04,Moderate rain at times,7.0,11.2,4.4,2.7,0.0,83,10.0,8.3,08:36 AM,06:50 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-05-03,Cloudy,4.9,10.6,0.2,0.0,0.0,85,9.3,13.7,08:35 AM,06:52 PM,2024-04-22 19:14
"Villa La Angostura, AR",-40.78,-71.66,2023-05-02,Cloudy,4.0,8.3,1.1,0.0,0.0,81,10.0,9.0,08:34 AM,06:53 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-05-01,Light freezing rain,1.9,4.5,-0.5,2.3,0.0,93,9.8,13.9,08:33 AM,06:54 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-04-30,Patchy moderate snow,1.3,4.3,-1.3,8.05,2.76,89,6.8,16.7,08:32 AM,06:55 PM,2024-04-22 19:14
"Villa La Angostura, AR",-40.78,-71.66,2023-04-29,Moderate or heavy rain shower,4.2,7.3,0.8,35.15,0.0,93,6.4,19.0,08:31 AM,06:57 PM,2024-04-22 19:14
"Villa La Angostura, AR",-40.78,-71.66,2023-04-28,Moderate or heavy rain shower,8.2,9.4,7.1,53.5,0.0,90,8.0,26.2,08:30 AM,06:58 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-04-27,Patchy rain possible,8.3,10.2,6.3,1.5,0.0,78,8.7,13.3,08:29 AM,06:59 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-04-26,Overcast,7.8,12.6,4.8,0.1,0.0,77,9.6,11.5,08:28 AM,07:01 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-04-25,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14
"Villa La Angostura, AR",-40.78,-71.66,2023-04-24,Sunny,10.4,16.5,6.5,0.0,0.0,55,10.0,15.1,08:25 AM,07:03 PM,2024-04-22 19:14
"Villa La Angostura, AR",-40.78,-71.66,2023-04-23,Sunny,10.3,16.9,5.5,0.0,0.0,59,10.0,8.3,08:24 AM,07:05 PM,2024-04-22 19:12
"Villa La Angostura, AR",-40.78,-71.66,2023-04-22,Sunny,7.6,13.0,1.6,0.0,0.0,68,10.0,8.6,08:23 AM,07:06 PM,2024-04-22 19:14
